login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license
sadanandpai,sadanandpai/purefrontend,2020-06-25T11:10:03Z,204,204,TypeScript,TRUE,TRUE,
raisedadead,raisedadead/portfolio,2015-12-18T18:18:59Z,21,21,TypeScript,FALSE,FALSE,isc
sadanandpai,sadanandpai/javascript-code-challenges,2020-11-20T13:10:04Z,4254,4254,MDX,TRUE,TRUE,mit
dhruvmanila,dhruvmanila/dotfiles,2020-09-11T16:36:38Z,21,21,Lua,FALSE,FALSE,mit
collabnix,collabnix/awesome-testcontainers,2024-10-09T11:49:44Z,42,42,,TRUE,TRUE,
knadh,knadh/listmonk,2019-06-26T05:08:39Z,15088,15088,Go,TRUE,FALSE,agpl-3.0
raisedadead,raisedadead/homelab,2023-02-17T11:58:25Z,6,6,HCL,TRUE,FALSE,isc
raisedadead,raisedadead/freeCodeCamp,2021-02-21T06:34:34Z,2,2,TypeScript,FALSE,FALSE,bsd-3-clause
theapache64,theapache64/benchart,2022-11-15T14:21:25Z,137,137,Kotlin,TRUE,TRUE,apache-2.0
raisedadead,raisedadead/action-docr-cleanup,2023-09-13T23:16:27Z,3,3,Shell,TRUE,FALSE,mit
aakashns,aakashns/aakashns,2020-12-11T03:58:14Z,1,1,,TRUE,TRUE,
Shubham0812,Shubham0812/Matrix_UI,2024-10-28T08:16:34Z,0,0,Swift,TRUE,FALSE,mit
scaleracademy,scaleracademy/DevOps-Introduction-Assignments-Git-GitHub-and-YAML,2024-10-26T21:58:33Z,0,0,,TRUE,TRUE,
adityaoberai,adityaoberai/auth-demo,2024-10-23T15:02:24Z,0,0,Svelte,TRUE,TRUE,
raisedadead,raisedadead/travel-router,2024-06-23T15:01:54Z,3,3,Vim Script,FALSE,FALSE,isc
aashutoshrathi,aashutoshrathi/aashutoshrathi,2020-07-09T06:56:51Z,10,10,,TRUE,TRUE,
sadanandpai,sadanandpai/frontend-mini-challenges,2021-06-28T17:36:25Z,2076,2076,JavaScript,FALSE,FALSE,mit
raisedadead,raisedadead/dotfiles,2017-06-30T13:41:38Z,10,10,Shell,FALSE,FALSE,isc
scaleracademy,scaleracademy/devops-opensource-project,2024-10-20T14:08:29Z,0,0,,TRUE,TRUE,
Shubham0812,Shubham0812/iOS-Event-Notes,2024-10-19T07:17:45Z,6,6,,TRUE,TRUE,
raisedadead,raisedadead/Brewfile,2017-06-30T19:58:13Z,4,4,Ruby,FALSE,FALSE,unlicense
ajeetraina,ajeetraina/awesome-testcontainers,2024-10-09T12:57:49Z,0,0,,TRUE,TRUE,
collabnix,collabnix/awesome-docker-scout,2023-08-25T10:12:01Z,20,20,,TRUE,TRUE,
DeekshithSN,DeekshithSN/AWS-Terraform,2020-09-04T08:54:41Z,8,8,HCL,TRUE,TRUE,
sadanandpai,sadanandpai/frontend-learning-kit,2021-06-05T04:17:15Z,4327,4327,,TRUE,TRUE,mit
raisedadead,raisedadead/github-ssh-keys-demo,2022-06-12T12:06:58Z,2,2,TypeScript,TRUE,TRUE,isc
dhruvmanila,dhruvmanila/neovim,2021-05-17T06:08:56Z,1,1,Vim Script,TRUE,TRUE,other
knadh,knadh/koanf,2019-06-18T06:34:05Z,2768,2768,Go,TRUE,TRUE,mit
theapache64,theapache64/auto-motion,2021-02-21T10:58:38Z,5,5,Kotlin,TRUE,TRUE,apache-2.0
raisedadead,raisedadead/contribute,2024-05-21T06:48:04Z,0,0,MDX,TRUE,FALSE,bsd-3-clause
goru001,goru001/goru001.github.io,2019-12-15T08:24:20Z,2,2,Liquid,TRUE,TRUE,mit
aashutoshrathi,aashutoshrathi/awesome-micro-rollups,2024-03-16T12:35:01Z,7,7,,TRUE,TRUE,
knadh,knadh/floatype.js,2023-11-25T17:46:48Z,87,87,JavaScript,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/github-readme-stats,2022-10-28T16:39:35Z,8,8,JavaScript,TRUE,FALSE,mit
theapache64,theapache64/bucker,2024-08-15T14:25:44Z,2,2,Kotlin,TRUE,TRUE,
aakashns,aakashns/aakashns.com,2023-12-05T05:32:31Z,1,1,CSS,TRUE,TRUE,mit
DeekshithSN,DeekshithSN/flipkart,2024-08-03T14:17:44Z,1,1,,FALSE,FALSE,
rbhatia46,rbhatia46/Data-Science-Interview-Resources,2018-11-22T19:48:36Z,2752,2752,,TRUE,TRUE,mit
SamirPaulb,SamirPaulb/DSAlgo,2021-11-18T06:07:17Z,2092,2092,Python,TRUE,TRUE,other
Shubham0812,Shubham0812/Download_UI,2024-08-04T09:15:22Z,0,0,,TRUE,TRUE,apache-2.0
knadh,knadh/git-bars,2018-11-27T11:07:43Z,95,95,Python,TRUE,TRUE,mit
knadh,knadh/dictpress,2019-08-25T07:32:32Z,360,360,Go,TRUE,TRUE,agpl-3.0
